Dataset,Modelo,Explicador,Jaccard,Overlap@10,Spearman,Jaccard Std
Cora,GCN,GNNExplainer,0.7099025974025974,8.05,0.29563131313131313,0.2426116791724388
Cora,GAT,GNNExplainer,0.654203033808297,7.516666666666666,0.31463924963924966,0.28692466021484647
Cora,GraphSAGE,GNNExplainer,0.7603951603951604,8.466666666666665,0.4150937950937951,0.20601424940332466
CiteSeer,GCN,GNNExplainer,0.5110738862673847,6.383333333333335,0.0036219336219336256,0.23691880918156938
CiteSeer,GAT,GNNExplainer,0.3374404462639756,4.866666666666666,-0.15234126984126986,0.13316337611656093
CiteSeer,GraphSAGE,GNNExplainer,0.5371948513589381,6.716666666666667,0.018109668109668103,0.19371839908026978
PubMed,GCN,GNNExplainer,0.3054149482555056,4.466666666666668,-0.029206349206349208,0.12598028076287932
PubMed,GAT,GNNExplainer,0.2373495484563596,3.65,0.06337301587301587,0.11011193622367163
PubMed,GraphSAGE,GNNExplainer,0.27128446745319806,4.1,0.026984126984127,0.10359699492393576
Cora,GCN,GraphLIME,0.5294920894379098,6.416666666666667,0.5728354978354979,0.28940979846622333
Cora,GAT,GraphLIME,0.6222444208125322,6.799999999999999,0.7095238095238094,0.397092306273241
Cora,GraphSAGE,GraphLIME,0.49093205842431853,5.8999999999999995,0.4945959595959596,0.324111391368716
CiteSeer,GCN,GraphLIME,0.5680018367711865,6.5166666666666675,0.4633730158730159,0.3615087276878305
CiteSeer,GAT,GraphLIME,0.7541431808072675,8.016666666666666,0.6946536796536796,0.3170818613661281
CiteSeer,GraphSAGE,GraphLIME,0.5721255581936696,6.566666666666667,0.4573737373737373,0.35804300137188844
PubMed,GCN,GraphLIME,0.47143290146386113,5.683333333333333,0.49714285714285716,0.29239939529085135
PubMed,GAT,GraphLIME,0.4095837956906069,4.833333333333334,0.5183333333333333,0.374087043483027
PubMed,GraphSAGE,GraphLIME,0.46749233022452846,5.4833333333333325,0.583531746031746,0.3796439314804181
