Dataset,Modelo,Explicador,Fidelity,Fidelity Std,Min Fidelity,Max Fidelity
CiteSeer,GAT,GNNExplainer,0.16565953561415275,0.244008770112581,0.1034946620464325,0.22791175451129675
CiteSeer,GAT,GraphLIME,0.001793046792348226,0.005802929755954465,0.00029589831829071047,0.004010871052742004
CiteSeer,GCN,GNNExplainer,0.2296494753332808,0.22535815146643232,0.17116368543356658,0.2738242343766615
CiteSeer,GCN,GraphLIME,0.005260372161865234,0.013300589033360611,-0.0013759449124336244,0.009995380043983459
CiteSeer,GraphSAGE,GNNExplainer,0.18787237691382566,0.2023614807868726,0.14535144977271558,0.23105500303208829
CiteSeer,GraphSAGE,GraphLIME,-0.0010742003719011945,0.008016176982998618,-0.006501485407352447,0.005075228214263916
Cora,GAT,GNNExplainer,0.06028730447093646,0.1108569109678389,0.0383791908621788,0.0863572858273983
Cora,GAT,GraphLIME,0.000444530447324117,0.003075163949827404,-0.0005705118179321289,0.0017814457416534424
Cora,GCN,GNNExplainer,0.12775730537250635,0.13405438226820332,0.1027814039029181,0.15365548469126225
Cora,GCN,GraphLIME,0.005385904510815938,0.017359978298967793,-0.00414993166923523,0.020814265310764312
Cora,GraphSAGE,GNNExplainer,0.16762293049444754,0.2228640702734104,0.1253059847280383,0.19730843380093574
Cora,GraphSAGE,GraphLIME,0.0028931116064389553,0.02006265836357161,-0.0006711319088935852,0.007614362239837647
PubMed,GAT,GNNExplainer,0.07012640833854675,0.0967428658572903,0.02892855405807495,0.10526034235954285
PubMed,GAT,GraphLIME,0.004231979946295421,0.017048700959674902,-0.005445635318756104,0.01679862290620804
PubMed,GCN,GNNExplainer,0.06840788771708807,0.07109369751822746,0.045182493329048154,0.09545293152332306
PubMed,GCN,GraphLIME,0.00589957982301712,0.014582842994560984,0.0005350381135940552,0.011531977355480194
PubMed,GraphSAGE,GNNExplainer,0.0654431958993276,0.04239235486061729,0.036953143775463104,0.0947662964463234
PubMed,GraphSAGE,GraphLIME,0.004687286416689555,0.009719670341972325,-0.000453302264213562,0.011890152096748352
